plant_number,plant_ID,stress NEED TO UPDATE STRESS LEVELS ACCORDINGLY
plant1,Camta1-1/T3,100
plant2,Camta1-2/T3,100
plant3,Camta5-2/T3,100
plant4,Camta5-5/T3,100
plant5,Camta1-3/T3,100
plant6,Camta5-3/T3,100
plant7,Camta5-1/T3,100
plant8,Col-0,100
plant9,Camta5-3/T3,100
plant10,IDKIDKIDKIDKIDKIDKIDKIDKDIKDIDKIDKDIDKDIDK,100
plant11,Camta1-1/T3,100
plant12,Camta5-5/T3,100
plant13,Camta5-2/T3,100
plant14,Camta5-5/T3,100
plant15,Camta5-5/T3,100
plant16,Camta1-1/T3,100
plant17,Camta1-2/T3,100
plant18,Camta1-3/T3,100
plant19,Camta5-1/T3,100
plant20,Camta5-2/T3,100
